codes RNSR	Adresse	Provenance
195321751B	CNRS TAAM, UPS44, Ctr Imagerie Petit Anim, Orleans, France	CNRS
195321751B	CNRS, UPS44, TAAM, F-45071 Orleans, France	CNRS
195817959H	Inst Biol Integrat Plantes, CNRS INRA SupAgro M UM2, UMR 5004, F-34060 Montpellier 1, France	CNRS
195817959H	CNRS, UMR 5004, Montpellier, France	CNRS
195817959H	Univ Montpellier 2, Inst Biol Integrat Plantes, Montpellier SupAgro, CNRS,INRA,UMR 5004,UMR 0386, F-34060 Montpellier 1, France	CNRS
195817959H	Univ Montpellier 2, CNRS, Inst Biol Integrat Plantes, INRA,MontpellierSupAgro,UMR 0386,UMR 5004, F-34060 Montpellier 2, France	CNRS
195817959H	Univ Montpellier 2, Montpellier SupAgro, INRA, CNRS,UMR 5004,UMR 0386,Inst Biol Integrat Plantes, F-34060 Montpellier 2, France	CNRS
195817959H	UMR BPMP INRA CNRS SupAgro UM II, Lab PHIV, Montpellier, France	CNRS
195817959H	Univ Montpellier 2, INRA, CNRS, Montpellier SupAgro,UMR 5004, F-34060 Montpellier 1, France	CNRS
195817959H	Univ Montpellier, CNRS, Inst Natl Rech Agron, Montpellier SupAgro,U386,UMR 5004, F-34060 Montpellier 1, France	CNRS
195817959H	Univ Montpellier 2, UMR 5004, CNRS UMR 0386, Inst Biol Integrat Plantes,INRA,Montpellier SupAg, Montpellier, France	CNRS
195817959H	Univ Montpellier 2, CNRS, UMR 5004, SupAgro Montpellier,INRA 386, F-34060 Montpellier 2, France	CNRS
196617508H	CNRS, CERMAV, UPR 5301, F-38041 Grenoble 9, France	CNRS
196617508H	Domaine Univ Grenoble, Ctr Rech Macromol Vegetales CERMAV UPR5301, CNRS UJF, F-38041 Grenoble 9, France	CNRS
196617508H	Univ Grenoble 1, CNRS, Ctr Rech Macromol Vegetales CERMAV, Grenoble, France	CNRS
196617508H	Univ Grenoble Alpes, CNRS, CERMAV, F-38041 Grenoble 9, France	CNRS
196617508H	CNRS, Ctr Rech Macromol Vegtales CERMAV, UPR 5301, F-38041 Grenoble, France	CNRS
196617508H	CNRS, CERMAV, F-38000 Grenoble, France	CNRS
